session_id,text,sender
770e8400-e29b-41d4-a716-446655440000,How can I improve my focus?,user
770e8400-e29b-41d4-a716-446655440000,Try the Pomodoro technique: 25 min focus then 5 min break,bot
770e8400-e29b-41d4-a716-446655440000,That sounds helpful! Any other tips?,user
770e8400-e29b-41d4-a716-446655440000,Yes! Remove distractions and set specific goals before each session,bot
770e8400-e29b-41d4-a716-446655440001,What are the best productivity tools?,user
770e8400-e29b-41d4-a716-446655440001,Task managers help organize work and focus timers track concentration time,bot
770e8400-e29b-41d4-a716-446655440002,How do I create an effective daily plan?,user
770e8400-e29b-41d4-a716-446655440002,Start by listing your top 3 priorities and allocate focus time for each,bot
770e8400-e29b-41d4-a716-446655440003,What is the best way to stay motivated?,user
770e8400-e29b-41d4-a716-446655440003,Track your progress and celebrate small wins along the way,bot
